user_id,join_date,last_active_date,age,monthly_fee,country,plan_tier,device_rating,shows_watched,avg_session_minutes,cancelled
96,2022-07-14,2022-10-18,52,16.66,Nigeria,basic,excellent,10,169.4,0
97,2022-07-15,2022-08-06,39,8.73,Nigeria,standard,good,21,40.9,0
98,2022-07-15,2024-01-09,19,16.71,Philippines,basic,excellent,19,174.5,1
99,2022-07-15,2022-11-15,28,8.79,Philippines,basic,good,8,31.5,0
100,2022-07-16,2022-08-11,54,8.16,USA,premium,excellent,16,141.1,1
101,2022-07-16,2022-08-28,38,8.46,Japan,basic,excellent,14,35.3,1
102,2022-07-17,2022-12-23,23,8.13,Philippines,standard,excellent,13,121.4,0
103,2022-07-17,2024-05-23,17,19.32,Philippines,premium,good,8,128.4,1
104,2022-07-18,2023-01-22,65,12.63,USA,standard,good,16,156.0,1
105,2022-07-18,2024-05-26,40,7.4,USA,standard,poor,16,128.7,1
106,2022-07-19,2023-10-26,37,16.03,Canada,basic,good,13,171.9,0
107,2022-07-19,2024-04-21,66,18.08,Brazil,standard,good,10,43.4,0
108,2022-07-20,2023-11-24,72,16.94,Brazil,basic,fair,11,116.9,1
109,2022-07-20,2022-11-23,24,12.52,Nigeria,premium,poor,22,25.5,0
110,2022-07-20,2022-11-13,35,8.71,Germany,premium,good,17,53.9,0
111,2022-07-21,2023-11-05,44,19.29,USA,standard,good,16,22.8,0
112,2022-07-21,2022-09-15,39,17.14,Japan,basic,excellent,19,41.8,0
113,2022-07-22,2023-08-31,48,6.93,Philippines,basic,poor,8,149.4,1
114,2022-07-22,2022-11-19,17,19.48,USA,standard,fair,13,128.7,0
115,2022-07-23,2024-03-09,62,6.69,Philippines,basic,good,19,103.2,0
116,2022-07-23,2022-09-30,33,6.53,Philippines,basic,fair,15,29.8,0
117,2022-07-24,2023-09-20,71,16.65,Philippines,standard,good,20,96.9,0
118,2022-07-24,2023-08-03,61,15.25,Brazil,standard,fair,16,80.0,0
119,2022-07-25,2022-09-16,73,14.57,USA,standard,good,19,116.3,1
120,2022-07-25,2023-11-11,58,17.28,USA,standard,excellent,15,40.5,0
121,2022-07-26,2023-01-02,68,6.61,Philippines,basic,fair,20,38.9,0
122,2022-07-26,2024-05-09,47,16.55,USA,premium,poor,19,120.8,1
123,2022-07-26,2023-11-25,29,15.52,Philippines,basic,good,12,121.8,0
124,2022-07-27,2024-04-23,64,18.52,Brazil,basic,excellent,10,14.4,1
125,2022-07-27,2023-04-24,42,6.09,Philippines,basic,good,25,108.2,1
126,2022-07-28,2023-06-30,36,9.36,Japan,basic,poor,14,119.2,0
127,2022-07-28,2024-03-11,21,5.46,Canada,standard,fair,17,171.4,0
128,2022-07-29,2024-01-02,25,5.31,USA,basic,fair,12,85.5,0
129,2022-07-29,2024-04-10,38,5.52,Philippines,premium,excellent,20,167.5,1
130,2022-07-30,2024-05-05,54,6.54,USA,standard,fair,10,92.9,1
131,2022-07-30,2024-04-23,29,19.82,Nigeria,basic,good,16,16.2,0
132,2022-07-31,2023-03-04,69,11.37,Japan,basic,good,19,161.7,0
133,2022-07-31,2023-11-19,55,15.75,Philippines,basic,good,15,124.0,0
134,2022-07-31,2023-07-16,21,14.19,Philippines,basic,good,7,163.7,1
135,2022-08-01,2024-06-02,40,18.92,USA,basic,fair,16,26.7,0
136,2022-08-01,2024-04-21,36,18.09,USA,standard,excellent,17,161.1,0
137,2022-08-02,2023-07-01,45,15.63,USA,premium,good,23,150.6,1
138,2022-08-02,2022-09-05,20,9.18,Philippines,premium,poor,9,178.5,1
139,2022-08-03,2024-06-07,54,14.28,Philippines,standard,poor,5,98.7,0
140,2022-08-03,2023-12-08,72,9.01,Germany,basic,good,11,77.8,0
141,2022-08-04,2023-06-25,68,13.99,Philippines,standard,excellent,16,22.9,0
142,2022-08-04,2024-02-23,27,7.68,Philippines,premium,good,23,28.6,0
143,2022-08-05,2023-08-25,27,14.79,Philippines,basic,fair,17,126.2,0
144,2022-08-05,2023-10-02,57,9.08,India,premium,poor,16,76.4,0
145,2022-08-06,2023-08-06,48,18.22,USA,standard,good,20,25.2,0
146,2022-08-06,2024-06-13,73,17.59,Philippines,basic,fair,16,153.9,0
147,2022-08-06,2023-03-03,44,9.42,Philippines,standard,fair,20,176.2,1
148,2022-08-07,2023-12-04,20,10.29,Brazil,standard,good,16,115.2,0
149,2022-08-07,2024-05-23,43,13.8,Brazil,standard,poor,13,92.0,0
150,2022-08-08,2024-04-22,52,5.37,Japan,basic,good,15,14.9,0
151,2022-08-08,2022-10-23,28,15.5,Japan,standard,excellent,19,146.8,1
152,2022-08-09,2023-09-19,62,7.69,Canada,standard,good,16,51.6,1
153,2022-08-09,2023-12-10,64,13.43,India,standard,poor,17,153.2,0
154,2022-08-10,2024-05-07,35,7.44,USA,standard,good,13,44.4,0
155,2022-08-10,2023-07-05,37,14.99,Philippines,standard,excellent,10,80.0,1
156,2022-08-11,2023-09-14,65,11.86,Philippines,standard,fair,13,77.8,1
157,2022-08-11,2024-01-07,38,18.6,Brazil,standard,good,16,130.4,1
158,2022-08-11,2024-02-05,58,15.97,Brazil,standard,good,21,127.4,0
159,2022-08-12,2023-02-28,29,11.65,Philippines,premium,poor,17,91.0,0
160,2022-08-12,2022-12-08,67,5.46,Philippines,standard,excellent,8,64.4,1
161,2022-08-13,2023-08-24,56,11.3,USA,basic,excellent,13,28.2,0
162,2022-08-13,2023-10-29,55,5.26,Brazil,standard,excellent,10,91.4,0
163,2022-08-14,2024-03-15,56,19.74,Japan,standard,fair,15,100.9,0
164,2022-08-14,2023-03-18,38,7.12,Japan,standard,excellent,19,114.8,1
165,2022-08-15,2022-09-02,40,12.68,Germany,premium,good,16,139.2,1
166,2022-08-15,2022-11-03,57,16.99,Nigeria,basic,excellent,18,65.2,0
167,2022-08-16,2023-07-05,71,17.1,India,basic,fair,20,78.1,0
168,2022-08-16,2024-07-07,29,7.15,Philippines,premium,excellent,10,161.6,0
169,2022-08-17,2023-07-02,65,7.95,Japan,basic,fair,14,34.8,0
170,2022-08-17,2023-05-23,24,7.19,India,standard,excellent,18,159.2,1
171,2022-08-17,2023-11-17,62,19.79,Germany,standard,fair,8,118.0,0
172,2022-08-18,2022-09-24,20,13.17,Japan,premium,fair,9,103.5,0
173,2022-08-18,2024-02-29,31,6.91,Germany,basic,fair,17,84.5,1
174,2022-08-19,2022-08-31,71,18.63,Philippines,standard,poor,17,79.2,0
175,2022-08-19,2022-12-21,44,18.23,Nigeria,standard,good,14,38.3,0
176,2022-08-20,2024-01-09,40,10.93,Philippines,standard,excellent,18,62.8,1
177,2022-08-20,2024-05-14,52,15.43,USA,basic,excellent,24,172.4,0
178,2022-08-21,2023-02-09,66,18.25,Nigeria,premium,excellent,13,65.9,1
179,2022-08-21,2024-07-15,30,10.84,Philippines,standard,fair,14,103.9,0
180,2022-08-22,2024-01-19,64,19.16,Brazil,basic,excellent,12,132.5,1
181,2022-08-22,2024-05-28,48,7.43,Philippines,premium,good,16,153.3,1
182,2022-08-22,2022-11-27,67,12.07,Philippines,standard,good,18,143.6,0
183,2022-08-23,2023-06-08,54,15.9,India,standard,fair,17,48.4,1
184,2022-08-23,2024-05-04,56,14.36,Germany,standard,poor,16,146.8,0
185,2022-08-24,2023-09-04,19,16.26,Brazil,basic,excellent,17,171.4,1
186,2022-08-24,2023-09-22,36,6.38,Brazil,standard,fair,15,104.2,0
187,2022-08-25,2023-11-03,20,5.79,Brazil,basic,good,12,52.3,0
188,2022-08-25,2022-12-01,33,8.49,Brazil,basic,fair,16,148.1,0
189,2022-08-26,2023-01-02,16,16.78,USA,basic,good,19,71.9,0
190,2022-08-26,2023-10-24,56,6.39,Nigeria,standard,fair,17,41.7,0
191,2022-08-27,2023-02-13,18,19.78,Brazil,basic,good,17,96.9,0
192,2022-08-27,2022-10-11,34,15.75,Philippines,premium,excellent,11,164.2,1
193,2022-08-28,2022-10-28,49,6.54,Germany,premium,fair,16,108.3,1
194,2022-08-28,2023-01-30,54,8.13,Philippines,basic,fair,15,24.8,0
195,2022-08-28,2023-07-11,16,10.71,India,basic,fair,17,145.3,0
196,2022-08-29,2023-11-28,46,8.32,USA,standard,fair,9,22.8,0
197,2022-08-29,2022-12-18,51,5.76,Philippines,premium,fair,13,61.3,0
198,2022-08-30,2023-11-09,59,13.88,Philippines,basic,good,13,123.4,1
199,2022-08-30,2022-12-31,17,13.31,Philippines,premium,good,21,34.0,0
200,2022-08-31,2023-09-24,27,16.82,USA,basic,good,18,26.2,0
201,2022-08-31,2024-06-20,29,8.12,Nigeria,premium,good,18,75.2,0
202,2022-09-01,2022-12-20,57,17.29,Nigeria,standard,good,14,10.6,0
203,2022-09-01,2022-12-04,16,19.82,USA,basic,fair,16,91.7,0
204,2022-09-02,2023-12-16,27,8.55,Germany,basic,poor,13,129.7,0
205,2022-09-02,2023-04-17,29,9.9,USA,standard,fair,14,126.2,1
206,2022-09-02,2023-02-25,74,11.29,USA,basic,excellent,12,164.1,1
207,2022-09-03,2024-03-18,62,14.0,Japan,basic,excellent,14,59.2,0
208,2022-09-03,2023-10-02,26,17.84,India,standard,excellent,12,13.9,0
209,2022-09-04,2023-10-16,63,18.33,India,premium,fair,12,160.3,0
210,2022-09-04,2024-02-22,37,19.84,Philippines,premium,fair,20,67.4,0
211,2022-09-05,2024-07-04,42,15.64,Nigeria,basic,good,8,82.4,1
212,2022-09-05,2023-06-23,29,8.17,India,standard,excellent,16,142.5,0
213,2022-09-06,2024-04-01,16,18.19,Philippines,standard,fair,18,160.6,1
214,2022-09-06,2024-02-24,74,12.44,USA,premium,excellent,16,11.1,0
215,2022-09-07,2023-11-09,49,8.63,Philippines,basic,excellent,12,14.8,0
216,2022-09-07,2023-08-18,41,14.96,Japan,basic,good,7,43.2,0
217,2022-09-08,2024-05-26,62,10.47,India,basic,excellent,12,164.0,0
218,2022-09-08,2023-05-13,44,7.54,USA,standard,good,17,81.7,1
219,2022-09-08,2024-07-16,23,5.31,Philippines,standard,good,11,80.8,0
220,2022-09-09,2023-11-02,52,9.66,Canada,basic,good,16,116.9,1
221,2022-09-09,2024-04-25,21,5.01,USA,standard,fair,11,156.4,1
222,2022-09-10,2023-10-28,58,15.87,Philippines,basic,good,15,58.3,0
223,2022-09-10,2023-01-18,39,8.92,Philippines,basic,fair,16,162.1,0
224,2022-09-11,2022-11-06,56,13.37,Nigeria,standard,fair,13,24.1,0
225,2022-09-11,2023-10-13,74,10.87,Brazil,basic,good,18,117.1,0
226,2022-09-12,2023-11-22,31,18.76,USA,standard,excellent,16,104.5,0
227,2022-09-12,2024-05-17,50,8.3,USA,premium,good,23,96.9,1
228,2022-09-13,2023-12-06,38,18.59,India,basic,good,12,141.0,1
229,2022-09-13,2024-04-13,46,5.51,USA,premium,excellent,15,33.4,0
230,2022-09-13,2022-12-23,71,5.34,Philippines,premium,fair,15,47.9,0
231,2022-09-14,2024-07-13,26,17.36,Brazil,premium,excellent,25,90.3,0
232,2022-09-14,2023-01-08,26,10.61,Brazil,basic,excellent,14,167.9,1
233,2022-09-15,2023-08-29,40,9.82,Brazil,standard,excellent,14,89.9,1
234,2022-09-15,2023-07-29,37,18.38,India,standard,excellent,13,114.8,1
235,2022-09-16,2024-02-14,41,19.28,Philippines,basic,fair,11,114.6,0
236,2022-09-16,2024-07-05,66,19.77,Philippines,premium,good,12,170.5,1
237,2022-09-17,2022-10-06,69,17.01,Canada,basic,good,14,135.5,0
238,2022-09-17,2023-09-07,51,18.1,USA,basic,good,20,145.8,0
239,2022-09-18,2023-10-22,74,16.27,India,standard,excellent,13,124.4,1
240,2022-09-18,2023-11-26,37,18.98,Canada,premium,good,11,114.4,1
241,2022-09-19,2023-07-14,46,6.66,India,standard,excellent,23,53.5,0
242,2022-09-19,2023-05-30,42,12.74,Philippines,standard,fair,21,177.0,1
243,2022-09-19,2024-06-10,25,12.26,Japan,premium,good,19,163.6,1
244,2022-09-20,2024-06-12,23,17.82,Japan,basic,fair,8,155.2,0
245,2022-09-20,2022-12-03,71,13.28,Philippines,standard,good,19,178.5,0
246,2022-09-21,2023-09-07,28,5.63,Philippines,premium,good,14,139.8,0
247,2022-09-21,2024-05-25,22,10.3,Japan,standard,good,20,15.9,1
248,2022-09-22,2024-03-13,74,17.93,Philippines,basic,good,11,24.2,0
249,2022-09-22,2023-04-24,17,8.33,Philippines,basic,fair,10,72.8,0
250,2022-09-23,2023-12-09,45,9.01,USA,standard,good,16,151.5,0
251,2022-09-23,2024-06-28,24,16.55,Germany,standard,fair,13,97.0,1
252,2022-09-24,2023-11-24,21,18.09,Philippines,basic,excellent,22,42.7,0
253,2022-09-24,2024-07-26,51,6.14,USA,basic,excellent,14,27.3,0
254,2022-09-24,2023-03-12,33,17.44,USA,standard,good,17,130.6,1
255,2022-09-25,2023-06-13,17,14.32,Philippines,basic,excellent,18,147.4,0
256,2022-09-25,2022-12-11,27,13.33,Japan,standard,good,13,142.1,1
257,2022-09-26,2024-04-24,34,5.86,Nigeria,premium,good,18,26.2,1
258,2022-09-26,2024-04-13,18,17.54,Brazil,basic,good,17,144.6,1
259,2022-09-27,2023-02-06,45,17.29,Philippines,standard,good,9,74.5,1
260,2022-09-27,2023-06-23,73,19.33,Germany,standard,fair,11,177.5,1
261,2022-09-28,2024-05-14,29,10.01,USA,standard,good,5,114.9,0
262,2022-09-28,2024-03-01,34,9.54,Philippines,basic,poor,22,143.5,0
263,2022-09-29,2023-04-24,63,9.45,Philippines,standard,good,15,50.2,0
264,2022-09-29,2022-12-20,71,15.15,Philippines,basic,fair,14,116.6,0
265,2022-09-30,2024-04-25,41,14.8,Philippines,basic,fair,17,73.1,0
266,2022-09-30,2022-11-28,35,7.04,USA,basic,good,15,151.5,1
267,2022-09-30,2023-04-25,37,16.01,Brazil,standard,good,15,141.6,0
268,2022-10-01,2024-05-25,71,5.99,USA,basic,good,8,147.6,1
269,2022-10-01,2023-07-20,41,19.88,Brazil,standard,excellent,14,56.7,0
270,2022-10-02,2023-05-27,45,12.23,India,premium,fair,21,96.1,0
271,2022-10-02,2023-05-05,38,15.75,USA,standard,poor,15,126.9,0
272,2022-10-03,2023-05-15,38,19.5,Philippines,basic,fair,12,95.9,0
273,2022-10-03,2023-06-21,64,17.76,Philippines,basic,excellent,11,82.8,0
274,2022-10-04,2023-08-24,37,10.8,Philippines,basic,excellent,12,49.6,0
275,2022-10-04,2023-11-03,17,15.98,Philippines,standard,good,13,140.2,1
276,2022-10-05,2023-11-16,40,10.04,Germany,standard,poor,14,110.0,1
277,2022-10-05,2024-06-11,58,10.47,Philippines,premium,good,20,61.6,0
278,2022-10-05,2024-04-19,46,10.69,India,standard,fair,8,165.1,0
279,2022-10-06,2023-02-24,17,16.1,Japan,premium,good,20,149.3,0
280,2022-10-06,2023-06-13,31,6.75,Brazil,premium,excellent,17,33.8,1
