student_id,hours_studied,attendance_pct,prev_grade,study_group,passed,final_exam_result
177,1.1,,,A,0,fail
228,0.8,46.1,,B,0,fail
9,11.7,58.4,65.9,A,0,fail
233,4.1,34.8,65.2,A,0,fail
227,8.8,41.1,89.1,A,0,fail
145,3.5,79.7,69.6,A,0,fail
190,7.8,78.4,,A,1,pass
143,7.0,67.7,87.2,B,0,fail
183,1.0,34.9,77.0,C,0,fail
107,4.8h,87.1,58.6,A,0,fail
222,7.1,94.6,,C,1,pass
99,11.9,53.4,82.1,A,1,pass
223,11.8,84.8,90.3,B,1,pass
158,1.2,44.0,,A,0,fail
22,4.5,31.3,70.6,C,0,fail
162,2.8,78.0,61.2,C,0,fail
120,2.8,,87.5,B,0,fail
187,0.5,95.1,,A,0,fail
215,0.3,98.1,,A,0,fail
141,3.5h,71.8,,A,0,fail
79,2.7,,,C,0,fail
194,11.7,98.0,,B,1,pass
217,888.1522024088082h,53.3,45.1,A,1,pass
109,5.1,60.3,73.4,A,0,fail
182,9.4,86.2,,A,1,pass
204,8.2,98.4,,A,1,pass
174,2.9,,69.8,A,0,fail
83,6.5,69.4,79.4,A,0,fail
136,10.9,65.1,71.8,A,1,pass
207,11.0,88.2,59.0,C,1,pass
191,5.7,53.4,,C,0,fail
243,10.6,78.0,,C,1,pass
165,3.8,50.3,95.6,C,0,fail
37,6.2h,,78.0,A,0,fail
93,0.8,74.4,,B,0,fail
63,0.7,68.2,,A,0,fail
1,11.3,37.6,,A,0,fail
28,5.6,95.0,,C,1,pass
101,7.0,41.3,,A,0,fail
237,1.1,37.4,,A,0,fail
208,2.9,93.0,88.1,A,0,fail
203,2.1h,95.4,84.9,A,0,fail
193,3.4,76.7,,C,0,fail
144,3.6,34.2,67.4,C,0,fail
18,4.3,52.9,99.7,C,0,fail
60,1.9,46.6,88.6,B,0,fail
245,11.8,66.8,,B,1,pass
164,5.9h,32.2,,C,0,fail
150,11.1,73.2,,A,1,pass
124,8.3,35.2,,B,0,fail
56,7.7,,,A,0,fail
17,4.7,65.6,,A,0,fail
209,3.2,72.0,,A,0,fail
188,3.0,59.1,,C,0,fail
232,4.3,53.2,,A,0,fail
88,8.9,66.3,,C,0,fail
147,8.0,48.5,61.8,A,0,fail
98,2.2,43.9,,C,0,fail
126,4.4h,39.0,,A,0,fail
62,0.3,83.0,,B,0,fail
82,6.1,34.1,,A,0,fail
225,5.6,78.8,99.5,A,1,pass
69,3.5,73.6,56.0,B,0,fail
130,4.6,48.9,,B,0,fail
57,11.8,83.1,66.2,A,1,pass
20,4.2,,94.0,A,0,fail
87,1.3,95.4,,C,1,pass
71,5.8h,35.7,,C,0,fail
138,11.7,46.0,,A,1,pass
61,669.9488070430458,64.5,,A,0,fail
35,4.4,52.9,,B,0,fail
41,5.5,56.9,56.6,C,0,fail
139,5.8,33.0,,A,0,fail
77,10.2,98.4,,A,1,pass
198,11.9,52.6,65.0,A,1,pass
27,8.0,54.8,93.4,C,0,fail
33,11.5,33.9,,A,0,fail
68,7.8,59.9,42.4,A,0,fail
97,2.0,,,A,0,fail
84,1.1,36.1,70.7,C,0,fail
111,10.8h,52.0,,A,0,fail
106,4.9h,32.6,,A,0,fail
186,1.1,34.5,67.0,C,0,fail
74,9.0,62.1,,A,0,fail
118,7.9,99.1,,A,0,fail
151,9.0,39.1,,A,0,fail
146,4.3,92.2,,A,0,fail
201,5.4h,75.1,62.5,A,1,pass
92,5.6,99.8,58.8,B,0,fail
179,4.5,69.0,58.7,A,0,fail
137,11.0,42.6,,C,1,pass
175,9.7,71.4,,A,0,fail
40,4.8,55.4,,B,0,fail
50,6.8,53.9,42.3,A,0,fail
240,0.8,46.0,,A,0,fail
133,5.7,,52.2,A,0,fail
51,7.2,79.0,56.3,A,1,pass
205,10.6,99.6,,B,1,pass
53,5.5,51.8,47.5,A,0,fail
81,5.7,63.4,50.2,A,0,fail
195,1.2,70.3,,C,0,fail
239,9.7h,57.1,,A,0,fail
122,4.5,78.6,,B,0,fail
212,6.1,52.7,,B,0,fail
244,8.1,37.5,83.3,A,0,fail
199,11.5,53.3,,A,1,pass
47,2.6,78.5,77.0,B,0,fail
197,6.4,97.2,,A,0,fail
89,1.4,84.7,85.1,A,0,fail
70,6.3,69.5,90.5,A,0,fail
68,7.8,59.9,42.4,A,0,fail
236,11.0,59.7,,C,0,fail
59,10.9,64.7,52.7,A,0,fail
34,9.4,38.4,,B,1,pass
39,8.6h,68.0,,A,0,fail
104,1.8,61.1,,C,0,fail
52,11.6h,74.5,,A,1,pass
108,1.1,35.2,,B,0,fail
171,8.4,30.7,51.9,A,0,fail
5,3.5,33.8,77.0,A,0,fail
103,4.6h,75.0,72.6,A,0,fail
196,8.0h,75.0,84.4,A,0,fail
168,2.7h,83.8,,B,0,fail
38,10.8,34.9,,A,1,pass
117,0.4,56.0,,B,0,fail
125,3.2,,93.3,A,0,fail
149,1.2,99.4,,A,0,fail
219,9.7,88.1,,A,1,pass
32,6.8h,66.6,95.1,C,0,fail
64,1.6,31.1,,A,0,fail
48,8.4,39.2,94.0,A,0,fail
214,4.2,41.3,51.6,A,0,fail
249,0.9,54.3,85.5,C,0,fail
96,4.6,69.0,82.9,B,0,fail
178,1.8,90.2,58.3,A,0,fail
163,1.9,,65.1,A,0,fail
8,4.4,49.5,79.0,C,0,fail
105,7.3,57.9,70.6,B,0,fail
76,11.1,51.0,,A,0,fail
211,11.0,68.6,79.5,A,0,fail
44,2.7,83.5,,C,0,fail
23,0.7,32.1,,B,0,fail
73,5.5,60.2,,B,0,fail
238,0.4,73.5,,B,0,fail
16,6.9h,,,A,0,fail
169,5.2,69.2,,A,0,fail
